#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Taphrina deformans	Eukaryota	Fungi	Ascomycetes	13.3942	-	-	-	1
Taro bacilliform virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007458	1	-	-	1
Taro vein chlorosis virus	Viruses	ssRNA viruses	Rhabdoviridae	0.01202	1	-	-	1
Tarsius syrichta	Eukaryota	Animals	Mammals	3453.86	-	1	-	1
Taterapox virus	Viruses	dsDNA viruses, no RNA stage	Poxviridae	0.19805	1	-	-	1
Tatumella	Bacteria	Proteobacteria	Gammaproteobacteria	3.60293	-	-	-	2
Tatumella ptyseos	Bacteria	Proteobacteria	Gammaproteobacteria	3.53905	-	-	-	1
Taura syndrome virus	Viruses	ssRNA viruses	Dicistroviridae	0.010205	1	-	-	1
Tauraco erythrolophus	Eukaryota	Animals	Birds	1155.54	-	-	-	1
Taylorella asinigenitalis	Bacteria	Proteobacteria	Betaproteobacteria	1.63856	1	-	-	3
Taylorella equigenitalis	Bacteria	Proteobacteria	Betaproteobacteria	1.73212	1	-	-	3
Telosma mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009689	1	-	-	1
Tembusu virus	Viruses	ssRNA viruses	Flaviviridae	0.01099	1	-	-	1
Temperate phage phiNIH1.1	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.041796	1	-	-	1
Tenacibaculum	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	2.89786	-	-	-	1
Tenacibaculum maritimum	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.22504	-	-	-	1
Tenacibaculum ovolyticum	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.12446	-	-	-	1
Tepidanaerobacter acetatoxydans	Bacteria	Firmicutes	Clostridia	2.76125	1	-	-	2
Tepidiphilus margaritifer	Bacteria	Proteobacteria	Betaproteobacteria	2.22024	-	-	-	1
Terasakiella pusilla	Bacteria	Proteobacteria	Alphaproteobacteria	4.05356	-	-	-	1
Teredinibacter turnerae	Bacteria	Proteobacteria	Gammaproteobacteria	5.38782	1	-	-	9
Terracoccus sp.	Bacteria	Actinobacteria	Actinobacteria	4.93873	-	-	-	1
Terribacillus aidingensis	Bacteria	Firmicutes	Bacilli	3.57708	-	-	-	1
Terriglobus roseus	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	5.22786	1	-	-	1
Terriglobus saanensis	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	5.09523	1	-	-	1
Terrimonas ferruginea	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.68615	-	-	-	1
Tetragenococcus halophilus	Bacteria	Firmicutes	Bacilli	2.56272	1	-	6	1
Tetragenococcus muriaticus	Bacteria	Firmicutes	Bacilli	2.08155	-	-	3	1
Tetrahymena borealis	Eukaryota	Protists	Other Protists	93.5061	-	-	-	1
Tetrahymena elliotti	Eukaryota	Protists	Other Protists	90.8376	-	-	-	1
Tetrahymena malaccensis	Eukaryota	Protists	Other Protists	106.672	-	1	-	1
Tetrahymena thermophila	Eukaryota	Protists	Other Protists	157.693	-	-	-	2
Tetranychus urticae	Eukaryota	Animals	Other Animals	90.8155	-	1	-	1
Tetraodon nigroviridis	Eukaryota	Animals	Fishes	342.403	-	1	-	1
Tetrapisispora blattae	Eukaryota	Fungi	Ascomycetes	14.0486	10	-	-	1
Tetrapisispora phaffii	Eukaryota	Fungi	Ascomycetes	12.1151	16	-	-	1
Tetraselmis viridis virus S1	Viruses	dsDNA viruses, no RNA stage	unclassified	0.026407	1	-	-	1
Tetraselmis viridis virus S20	Viruses	dsDNA viruses, no RNA stage	unclassified	0.038987	1	-	-	1
Tetraselmis viridis virus SI1	Viruses	dsDNA viruses, no RNA stage	unclassified	0.039398	1	-	-	1
Tetrasphaera elongata	Bacteria	Actinobacteria	Actinobacteria	3.17469	-	-	-	1
Tetrasphaera phage TJE1	Viruses	dsDNA viruses, no RNA stage	unclassified	0.049219	1	-	-	1
Thalassiobium sp. R2A62	Bacteria	Proteobacteria	Alphaproteobacteria	3.48793	-	-	-	1
Thalassiosira oceanica	Eukaryota	Other	Other	92.0438	-	1	-	1
Thalassiosira pseudonana	Eukaryota	Other	Other	32.4374	20	1	-	1
Thalassobacillus devorans	Bacteria	Firmicutes	Bacilli	3.93513	-	-	-	1
Thalassobacter arenae	Bacteria	Proteobacteria	Alphaproteobacteria	3.68819	-	-	-	1
Thalassobaculum salexigens	Bacteria	Proteobacteria	Alphaproteobacteria	5.08455	-	-	-	1
Thalassolituus oleivorans	Bacteria	Proteobacteria	Gammaproteobacteria	3.92033	1	-	-	2
Thalassomonas phage BA3	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.037313	1	-	-	1
Thalassospira lucentensis	Bacteria	Proteobacteria	Alphaproteobacteria	4.74625	-	-	-	1
Thalassospira permensis	Bacteria	Proteobacteria	Alphaproteobacteria	4.43331	-	-	-	1
Thalassospira profundimaris	Bacteria	Proteobacteria	Alphaproteobacteria	4.38023	-	-	-	1
Thalassospira xiamenensis	Bacteria	Proteobacteria	Alphaproteobacteria	4.70524	-	-	-	1
Thauera	Bacteria	Proteobacteria	Betaproteobacteria	4.70873	1	-	1	4
Thauera aminoaromatica	Bacteria	Proteobacteria	Betaproteobacteria	4.2807	-	-	-	1
Thauera linaloolentis	Bacteria	Proteobacteria	Betaproteobacteria	4.21434	-	-	-	2
Thauera phenylacetica	Bacteria	Proteobacteria	Betaproteobacteria	5.02239	-	-	-	1
Thauera selenatis	Bacteria	Proteobacteria	Betaproteobacteria	9.14388	-	-	-	1
Thauera terpenica	Bacteria	Proteobacteria	Betaproteobacteria	4.14579	-	-	-	1
Thaumarchaeota archaeon JGI OTU-1	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	1.18034	-	-	-	1
Thaumarchaeota archaeon JGI OTU-2	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	0.654645	-	-	-	1
Thaumarchaeota archaeon JGI OTU-3	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	0.688171	-	-	-	1
Thaumarchaeota archaeon JGI OTU-4	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	0.617045	-	-	-	1
Thaumarchaeota archaeon MY2	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	1.76297	-	-	-	1
Thaumarchaeota archaeon N4	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	1.63613	-	-	-	1
Thaumarchaeota archaeon SCGC AAA282-K18	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	1.04351	-	-	-	1
Thaumarchaeota archaeon SCGC AB-179-E04	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	0.29149	-	-	-	1
Thaumarchaeota archaeon SCGC AB-539-E09	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	0.529171	-	-	-	1
Thecamonas trahens	Eukaryota	Protists	Other Protists	28.6806	-	-	-	1
Theileria annulata	Eukaryota	Protists	Apicomplexans	8.35843	5	-	-	1
Theileria parva	Eukaryota	Protists	Apicomplexans	8.34761	2	1	-	1
Theilovirus	Viruses	ssRNA viruses	Picornaviridae	0.008115	1	-	-	3
Theobroma cacao	Eukaryota	Plants	Land Plants	345.994	10	1	-	2
Thermacetogenium phaeum	Bacteria	Firmicutes	Clostridia	2.93906	1	-	-	2
Thermaerobacter marianensis	Bacteria	Firmicutes	Clostridia	2.8447	1	-	-	1
Thermaerobacter subterraneus	Bacteria	Firmicutes	Clostridia	2.88874	-	-	-	1
Thermanaerovibrio acidaminovorans	Bacteria	Synergistetes	Synergistia	1.84847	1	-	-	1
Thermanaerovibrio velox	Bacteria	Synergistetes	Synergistia	1.88084	1	-	-	1
Thermicanus aegyptius	Bacteria	Firmicutes	Bacilli	3.65762	-	-	-	1
Thermincola potens	Bacteria	Firmicutes	Clostridia	3.15742	1	-	-	1
Thermithiobacillus tepidarius	Bacteria	Proteobacteria	Gammaproteobacteria	2.9585	-	-	-	1
Thermoanaerobacter	Bacteria	Firmicutes	Clostridia	2.61461	1	-	-	4
Thermoanaerobacter brockii	Bacteria	Firmicutes	Clostridia	2.34482	1	-	-	1
Thermoanaerobacter ethanolicus	Bacteria	Firmicutes	Clostridia	3.09165	-	-	-	2
Thermoanaerobacter indiensis	Bacteria	Firmicutes	Clostridia	2.59761	-	-	-	1
Thermoanaerobacter italicus	Bacteria	Firmicutes	Clostridia	2.45106	1	-	-	1
Thermoanaerobacter mathranii	Bacteria	Firmicutes	Clostridia	2.30609	1	-	-	1
Thermoanaerobacter pseudethanolicus	Bacteria	Firmicutes	Clostridia	2.36282	1	-	-	1
Thermoanaerobacter siderophilus	Bacteria	Firmicutes	Clostridia	2.54016	1	-	-	1
Thermoanaerobacter thermocopriae	Bacteria	Firmicutes	Clostridia	2.45574	-	-	-	1
Thermoanaerobacter thermohydrosulfuricus	Bacteria	Firmicutes	Clostridia	2.58087	-	-	-	1
Thermoanaerobacter wiegelii	Bacteria	Firmicutes	Clostridia	2.78506	1	-	-	1
Thermoanaerobacterium aotearoense	Bacteria	Firmicutes	Clostridia	2.80804	-	-	-	1
Thermoanaerobacterium saccharolyticum	Bacteria	Firmicutes	Clostridia	2.87935	2	-	1	1
Thermoanaerobacterium thermosaccharolyticum	Bacteria	Firmicutes	Clostridia	2.89428	1	-	1	2
Thermoanaerobacterium xylanolyticum	Bacteria	Firmicutes	Clostridia	2.53436	1	-	-	1
Thermoanaerobaculum aquaticum	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	2.66093	-	-	-	1
Thermobacillus composti	Bacteria	Firmicutes	Bacilli	4.35553	1	-	1	1
Thermobaculum terrenum	Bacteria	unclassified Bacteria	Thermobaculum	3.10158	2	-	-	1
Thermobifida fusca	Bacteria	Actinobacteria	Actinobacteria	3.64225	1	-	-	2
Thermobispora bispora	Bacteria	Actinobacteria	Actinobacteria	4.18998	1	-	-	1
Thermobrachium celere	Bacteria	Firmicutes	Clostridia	2.64476	-	-	-	1
Thermococcus	Archaea	Euryarchaeota	Thermococci	2.17657	1	-	1	5
Thermococcus barophilus	Archaea	Euryarchaeota	Thermococci	2.06424	1	-	1	1
Thermococcus gammatolerans	Archaea	Euryarchaeota	Thermococci	2.04544	1	-	-	1
Thermococcus kodakarensis	Archaea	Euryarchaeota	Thermococci	2.08874	1	-	-	1
Thermococcus litoralis	Archaea	Euryarchaeota	Thermococci	2.21517	1	-	-	1
Thermococcus nautilus	Archaea	Euryarchaeota	Thermococci	1.97636	1	-	3	1
Thermococcus onnurineus	Archaea	Euryarchaeota	Thermococci	1.84761	1	-	-	1
Thermococcus prieurii virus 1	Viruses	unclassified archaeal viruses	unclassified	0.021592	1	-	-	1
Thermococcus sibiricus	Archaea	Euryarchaeota	Thermococci	1.8458	1	-	-	1
Thermococcus zilligii	Archaea	Euryarchaeota	Thermococci	1.76456	-	-	-	1
Thermocrinis albus	Bacteria	Aquificae	Aquificae	1.50058	1	-	-	1
Thermocrinis ruber	Bacteria	Aquificae	Aquificae	1.52104	1	-	-	1
Thermocrinis sp.	Bacteria	Aquificae	Aquificae	1.31563	-	-	-	1
Thermocrispum agreste	Bacteria	Actinobacteria	Actinobacteria	4.19609	-	-	-	1
Thermocrispum municipale	Bacteria	Actinobacteria	Actinobacteria	4.52642	-	-	-	1
Thermodesulfatator atlanticus	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	2.30228	-	-	-	1
Thermodesulfatator indicus	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	2.32222	1	-	-	1
Thermodesulfobacterium geofontis	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	1.63438	1	-	-	1
Thermodesulfobacterium hveragerdense	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	1.72959	-	-	-	1
Thermodesulfobacterium thermophilum	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	1.78738	-	-	-	1
Thermodesulfobium narugense	Bacteria	Firmicutes	Clostridia	1.89887	1	-	-	1
Thermodesulfovibrio islandicus	Bacteria	Nitrospirae	Nitrospira	2.04887	-	-	-	1
Thermodesulfovibrio thiophilus	Bacteria	Nitrospirae	Nitrospira	1.87147	-	-	-	1
Thermodesulfovibrio yellowstonii	Bacteria	Nitrospirae	Nitrospira	2.0038	1	-	-	1
Thermofilum pendens	Archaea	Crenarchaeota	Thermoprotei	1.81339	1	-	1	1
Thermofilum sp.	Archaea	Crenarchaeota	Thermoprotei	1.75026	1	-	-	1
Thermogemmatispora	Bacteria	Chloroflexi	Ktedonobacteria	5.60796	-	-	-	1
Thermogladius cellulolyticus	Archaea	Crenarchaeota	Thermoprotei	1.35632	1	-	-	1
Thermomicrobium roseum	Bacteria	Chloroflexi	Thermomicrobia	2.92074	1	-	1	1
Thermomonas fusca	Bacteria	Proteobacteria	Gammaproteobacteria	3.15145	-	-	-	1
Thermomonospora curvata	Bacteria	Actinobacteria	Actinobacteria	5.63902	1	-	-	1
Thermomyces lanuginosus	Eukaryota	Fungi	Ascomycetes	19.1555	-	-	-	1
Thermonema rossianum	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	2.95497	-	-	-	1
Thermophagus xiamenensis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.86353	-	-	-	1
Thermoplasma acidophilum	Archaea	Euryarchaeota	Thermoplasmata	1.56491	1	-	1	1
Thermoplasma volcanium	Archaea	Euryarchaeota	Thermoplasmata	1.5848	1	-	-	1
Thermoplasmatales archaeon BRNA1	Archaea	Euryarchaeota	Thermoplasmata	1.46111	1	-	-	1
Thermoplasmatales archaeon SCGC AB-539-C06	Archaea	Euryarchaeota	Thermoplasmata	0.593453	-	-	-	1
Thermoplasmatales archaeon SCGC AB-539-N05	Archaea	Euryarchaeota	Thermoplasmata	0.801028	-	-	-	1
Thermoplasmatales archaeon SCGC AB-540-F20	Archaea	Euryarchaeota	Thermoplasmata	1.03725	-	-	-	1
Thermoproteus tenax	Archaea	Crenarchaeota	Thermoprotei	1.84154	1	-	-	1
Thermoproteus tenax spherical virus 1	Viruses	dsDNA viruses, no RNA stage	Globuloviridae	0.020933	1	-	-	1
Thermoproteus uzoniensis	Archaea	Crenarchaeota	Thermoprotei	1.93606	1	-	-	1
Thermosediminibacter oceani	Bacteria	Firmicutes	Clostridia	2.28003	1	-	-	1
Thermosinus carboxydivorans	Bacteria	Firmicutes	Negativicutes	2.88977	-	-	-	1
Thermosipho africanus	Bacteria	Thermotogae	Thermotogae	2.08355	1	-	-	2
Thermosipho melanesiensis	Bacteria	Thermotogae	Thermotogae	1.91524	1	-	-	1
Thermosphaera aggregans	Archaea	Crenarchaeota	Thermoprotei	1.31659	1	-	-	1
Thermosynechococcus	Bacteria	Cyanobacteria	Oscillatoriophycideae	2.52006	1	-	-	1
Thermosynechococcus elongatus	Bacteria	Cyanobacteria	Oscillatoriophycideae	2.59386	1	-	-	1
Thermotoga	Bacteria	Thermotogae	Thermotogae	1.87769	1	-	1	3
Thermotoga elfii	Bacteria	Thermotogae	Thermotogae	2.16986	1	-	-	2
Thermotoga hypogea	Bacteria	Thermotogae	Thermotogae	2.16517	1	-	-	2
Thermotoga lettingae	Bacteria	Thermotogae	Thermotogae	2.13534	1	-	-	1
Thermotoga maritima	Bacteria	Thermotogae	Thermotogae	1.86964	1	-	-	3
Thermotoga naphthophila	Bacteria	Thermotogae	Thermotogae	1.80982	1	-	-	1
Thermotoga neapolitana	Bacteria	Thermotogae	Thermotogae	1.88456	1	-	-	1
Thermotoga petrophila	Bacteria	Thermotogae	Thermotogae	1.82351	1	-	1	1
Thermotoga thermarum	Bacteria	Thermotogae	Thermotogae	2.03994	1	-	-	1
Thermotogae bacterium JGI 0000106-O11	Bacteria	Thermotogae	unclassified Thermotogae	0.343694	-	-	-	1
Thermovibrio ammonificans	Bacteria	Aquificae	Aquificae	1.75953	1	-	1	1
Thermovirga lienii	Bacteria	Synergistetes	Synergistia	1.99965	1	-	1	1
Thermus	Bacteria	Deinococcus-Thermus	Deinococci	2.29271	1	-	2	3
Thermus antranikianii	Bacteria	Deinococcus-Thermus	Deinococci	2.16515	-	-	-	1
Thermus aquaticus	Bacteria	Deinococcus-Thermus	Deinococci	2.33819	-	-	-	1
Thermus igniterrae	Bacteria	Deinococcus-Thermus	Deinococci	2.22598	-	-	-	1
Thermus islandicus	Bacteria	Deinococcus-Thermus	Deinococci	2.26301	-	-	-	1
Thermus oshimai	Bacteria	Deinococcus-Thermus	Deinococci	2.40133	1	-	2	2
Thermus phage IN93	Viruses	dsDNA viruses, no RNA stage	unclassified	0.019604	1	-	-	1
Thermus phage P23-45	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.084201	1	-	-	1
Thermus phage P23-77	Viruses	dsDNA viruses, no RNA stage	unclassified	0.017036	1	-	-	1
Thermus phage P74-26	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.083319	1	-	-	1
Thermus phage TMA	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.151483	1	-	-	1
Thermus phage phi OH2	Viruses	dsDNA viruses, no RNA stage	unclassified	0.038099	1	-	-	1
Thermus phage phiYS40	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.152372	1	-	-	2
Thermus scotoductus	Bacteria	Deinococcus-Thermus	Deinococci	2.35519	1	-	1	2
Thermus thermophilus	Bacteria	Deinococcus-Thermus	Deinococci	2.31121	1	-	3	5
Thetapapillomavirus 1	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007304	1	-	-	1
Thielavia terrestris	Eukaryota	Fungi	Ascomycetes	36.9123	6	-	-	1
Thielaviopsis basicola mitovirus	Viruses	ssRNA viruses	Narnaviridae	0.002896	1	-	-	1
Thin paspalum asymptomatic virus	Viruses	ssRNA viruses	Tombusviridae	0.004195	1	-	-	1
Thioalkalimicrobium aerophilum	Bacteria	Proteobacteria	Gammaproteobacteria	2.15051	-	-	-	1
Thioalkalimicrobium cyclicum	Bacteria	Proteobacteria	Gammaproteobacteria	1.93246	1	-	-	1
Thioalkalivibrio	Bacteria	Proteobacteria	Gammaproteobacteria	3.46016	1	-	1	67
Thioalkalivibrio nitratireducens	Bacteria	Proteobacteria	Gammaproteobacteria	4.00235	1	-	-	1
Thioalkalivibrio sulfidophilus	Bacteria	Proteobacteria	Gammaproteobacteria	3.46455	1	-	-	1
Thioalkalivibrio thiocyanodenitrificans	Bacteria	Proteobacteria	Gammaproteobacteria	3.74665	-	-	-	1
Thioalkalivibrio thiocyanoxidans	Bacteria	Proteobacteria	Gammaproteobacteria	3.75724	-	-	-	2
Thiobacillus denitrificans	Bacteria	Proteobacteria	Betaproteobacteria	3.60995	1	-	-	2
Thiobacillus thioparus	Bacteria	Proteobacteria	Betaproteobacteria	3.20152	-	-	-	1
Thiocapsa marina	Bacteria	Proteobacteria	Gammaproteobacteria	5.59554	-	-	-	1
Thioclava	Bacteria	Proteobacteria	Alphaproteobacteria	3.82207	-	-	-	1
Thioclava dalianensis	Bacteria	Proteobacteria	Alphaproteobacteria	4.17906	-	-	-	1
Thioclava pacifica	Bacteria	Proteobacteria	Alphaproteobacteria	3.72829	-	-	-	1
Thiocystis violascens	Bacteria	Proteobacteria	Gammaproteobacteria	5.01707	1	-	-	1
Thioflavicoccus mobilis	Bacteria	Proteobacteria	Gammaproteobacteria	4.13752	1	-	1	1
Thiomicrospira	Bacteria	Proteobacteria	Gammaproteobacteria	2.72571	-	-	-	3
Thiomicrospira arctica	Bacteria	Proteobacteria	Gammaproteobacteria	2.55288	-	-	-	1
Thiomicrospira chilensis	Bacteria	Proteobacteria	Gammaproteobacteria	2.44303	-	-	-	1
Thiomicrospira crunogena	Bacteria	Proteobacteria	Gammaproteobacteria	2.42773	1	-	-	1
Thiomicrospira halophila	Bacteria	Proteobacteria	Gammaproteobacteria	2.35669	-	-	-	1
Thiomicrospira kuenenii	Bacteria	Proteobacteria	Gammaproteobacteria	2.45246	-	-	-	1
Thiomicrospira pelophila	Bacteria	Proteobacteria	Gammaproteobacteria	2.10821	-	-	-	1
Thiomonas	Bacteria	Proteobacteria	Betaproteobacteria	4.20467	-	-	-	1
Thiomonas arsenitoxydans	Bacteria	Proteobacteria	Betaproteobacteria	3.78553	1	-	1	1
Thiomonas intermedia	Bacteria	Proteobacteria	Betaproteobacteria	3.4621	1	-	2	1
Thiorhodococcus	Bacteria	Proteobacteria	Gammaproteobacteria	4.76666	-	-	-	1
Thiorhodococcus drewsii	Bacteria	Proteobacteria	Gammaproteobacteria	5.52419	-	-	-	1
Thiorhodospira sibirica	Bacteria	Proteobacteria	Gammaproteobacteria	3.18887	-	-	-	1
Thiorhodovibrio	Bacteria	Proteobacteria	Gammaproteobacteria	5.34286	-	-	-	1
Thiothrix disciformis	Bacteria	Proteobacteria	Gammaproteobacteria	3.92395	-	-	-	1
Thiothrix flexilis	Bacteria	Proteobacteria	Gammaproteobacteria	3.78763	-	-	-	1
Thiothrix lacustris	Bacteria	Proteobacteria	Gammaproteobacteria	3.71868	-	-	-	1
Thiothrix nivea	Bacteria	Proteobacteria	Gammaproteobacteria	4.69171	-	-	-	1
Thiovulum	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.08059	-	-	-	1
Thogoto virus	Viruses	ssRNA viruses	Orthomyxoviridae	0.010461	6	-	-	1
Thottapalayam virus	Viruses	ssRNA viruses	Bunyaviridae	0.011732	3	-	-	1
Thrush coronavirus HKU12	Viruses	ssRNA viruses	Coronaviridae	0.026396	1	-	-	1
Thunberg fritillary virus	Viruses	ssRNA viruses	Potyviridae	0.009723	1	-	-	1
Thunnus orientalis	Eukaryota	Animals	Fishes	684.497	-	1	-	1
Thysanoplusia orichalcea nucleopolyhedrovirus	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	0.132978	1	-	-	1
Tianjin totivirus	Viruses	dsRNA viruses	Totiviridae	0.007611	1	-	-	1
Tibrogargan virus	Viruses	ssRNA viruses	Rhabdoviridae	0.013298	1	-	-	1
Tick-borne encephalitis virus	Viruses	ssRNA viruses	Flaviviridae	0.011141	1	-	-	1
Tiger puffer nervous necrosis virus	Viruses	ssRNA viruses	Nodaviridae	0.004534	2	-	-	1
Tilletiaria anomala	Eukaryota	Fungi	Basidiomycetes	18.704	-	-	-	1
Timonella senegalensis	Bacteria	Actinobacteria	Actinobacteria	3.00994	-	-	-	1
Tinamus guttatus	Eukaryota	Animals	Birds	1047.41	-	-	-	1
Tioman virus	Viruses	ssRNA viruses	Paramyxoviridae	0.015522	1	-	-	1
Tistrella mobilis	Bacteria	Proteobacteria	Alphaproteobacteria	6.51298	1	-	4	1
Titi monkey adenovirus ECC-2011	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.036838	1	-	-	1
Tobacco bushy top virus	Viruses	ssRNA viruses	unclassified	0.004152	1	-	-	1
Tobacco bushy top virus satellite-like RNA	Viruses	Satellites	unclassified	0.000781	1	-	-	1
Tobacco curly shoot alphasatellite	Viruses	Satellites	unclassified	0.001367	1	-	-	1
Tobacco curly shoot betasatellite	Viruses	Satellites	unclassified	0.001354	1	-	-	1
Tobacco curly shoot virus	Viruses	ssDNA viruses	Geminiviridae	0.002743	1	-	-	1
Tobacco etch virus	Viruses	ssRNA viruses	Potyviridae	0.009494	1	-	-	1
Tobacco leaf chlorosis betasatellite	Viruses	Satellites	unclassified	0.001345	1	-	-	1
Tobacco leaf curl Japan virus	Viruses	ssDNA viruses	Geminiviridae	0.002761	1	-	-	1
Tobacco leaf curl Kochi virus	Viruses	ssDNA viruses	Geminiviridae	0.00276	1	-	-	1
Tobacco leaf curl PUSA alphasatellite	Viruses	Satellites	unclassified	0.001379	1	-	-	1
Tobacco leaf curl Pusa virus	Viruses	ssDNA viruses	Geminiviridae	0.002707	1	-	-	1
Tobacco leaf curl Thailand virus	Viruses	ssDNA viruses	Geminiviridae	0.002752	1	-	-	1
Tobacco leaf curl Yunnan virus	Viruses	ssDNA viruses	Geminiviridae	0.00275	1	-	-	1
Tobacco leaf curl Yunnan virus associated DNA 1	Viruses	Satellites	unclassified	0.00137	1	-	-	1
Tobacco leaf curl Yunnan virus satellite DNA beta	Viruses	Satellites	unclassified	0.001336	1	-	-	1
Tobacco leaf curl Zimbabwe virus	Viruses	ssDNA viruses	Geminiviridae	0.002767	1	-	-	1
Tobacco leaf curl betasatellite	Viruses	Satellites	unclassified	0.001344	1	-	-	1
Tobacco leaf curl disease associated sequence	Viruses	Satellites	unclassified	0.001356	1	-	-	1
Tobacco mild green mosaic virus	Viruses	ssRNA viruses	Virgaviridae	0.006355	1	-	-	1
Tobacco mosaic virus	Viruses	ssRNA viruses	Virgaviridae	0.006395	1	-	-	1
Tobacco necrosis satellite virus	Viruses	Satellites	unclassified	0.001239	1	-	-	1
Tobacco necrosis virus A	Viruses	ssRNA viruses	Tombusviridae	0.003684	1	-	-	1
Tobacco necrosis virus D	Viruses	ssRNA viruses	Tombusviridae	0.003762	1	-	-	1
Tobacco rattle virus	Viruses	ssRNA viruses	Virgaviridae	0.010646	2	-	-	1
Tobacco ringspot virus	Viruses	ssRNA viruses	Secoviridae	0.011443	2	-	-	1
Tobacco ringspot virus satellite RNA	Viruses	Satellites	unclassified	0.000359	1	-	-	1
Tobacco streak virus	Viruses	ssRNA viruses	Bromoviridae	0.008622	3	-	-	1
Tobacco vein banding mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.00957	1	-	-	1
Tobacco vein clearing virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007767	1	-	-	1
Tobacco vein distorting virus	Viruses	ssRNA viruses	Luteoviridae	0.00592	1	-	-	1
Tobacco vein mottling virus	Viruses	ssRNA viruses	Potyviridae	0.009475	1	-	-	1
Tobacco yellow crinkle virus	Viruses	ssDNA viruses	Geminiviridae	0.005154	2	-	-	1
Tobacco yellow dwarf virus	Viruses	ssDNA viruses	Geminiviridae	0.00258	1	-	-	1
Togninia minima	Eukaryota	Fungi	Ascomycetes	47.4654	-	-	-	1
Tolumonas	Bacteria	Proteobacteria	Gammaproteobacteria	3.63224	-	-	-	1
Tolumonas auensis	Bacteria	Proteobacteria	Gammaproteobacteria	3.47129	1	-	-	1
Tolypocladium cylindrosporum virus 1	Viruses	dsRNA viruses	Totiviridae	0.005196	1	-	-	1
Tolypocladium inflatum	Eukaryota	Fungi	Ascomycetes	30.2177	-	-	-	1
Tomato apical stunt viroid	Viroids	Pospiviroidae	Pospiviroid	0.00036	1	-	-	1
Tomato aspermy virus	Viruses	ssRNA viruses	Bromoviridae	0.00887	3	-	-	1
Tomato begomovirus satellite DNA beta	Viruses	Satellites	unclassified	0.001342	1	-	-	1
Tomato black ring virus	Viruses	ssRNA viruses	Secoviridae	0.011991	2	-	-	1
Tomato black ring virus satellite RNA	Viruses	Satellites	unclassified	0.001374	1	-	-	1
Tomato blistering mosaic virus	Viruses	ssRNA viruses	Tymoviridae	0.006277	1	-	-	1
Tomato bushy stunt virus	Viruses	ssRNA viruses	Tombusviridae	0.004776	1	-	-	1
Tomato bushy stunt virus satellite RNA	Viruses	Satellites	unclassified	0.000822	1	-	-	1
Tomato chino La Paz virus	Viruses	ssDNA viruses	Geminiviridae	0.002606	1	-	-	1
Tomato chlorosis virus	Viruses	ssRNA viruses	Closteroviridae	0.016842	2	-	-	1
Tomato chlorotic dwarf viroid	Viroids	Pospiviroidae	Pospiviroid	0.00036	1	-	-	1
Tomato chlorotic leaf distortion virus-[Venezuela:Zulia:2004]	Viruses	ssDNA viruses	Geminiviridae	0.00523	2	-	-	1
Tomato chlorotic mottle virus	Viruses	ssDNA viruses	Geminiviridae	0.005195	2	-	-	1
Tomato chocolate spot virus	Viruses	ssRNA viruses	unclassified	0.012601	2	-	-	1
